state,1,2,3,4,5,6,7,8,9,10,0,-1
0,,p.1,,,,,p.2,,p.3,p.4,,p.5
1,,,,p.31,,,,,,,,
2,,p.13,,,,,p.14,,p.15,p.16,,p.17
3,r.-1.1.0,,,r.-1.1.0,,,,,,,r.-1.1.0,
4,r.-1.1.0,,,r.-1.1.0,,,,,,,r.-1.1.0,
5,p.6,,,p.7,,,,,,,acc,
6,,p.10,,,,,,,,,,
7,,,,,p.8,,,,,,,
8,,p.1,,,,,p.2,,p.3,p.4,,p.9
9,p.6/r.-1.4.0,,,p.7/r.-1.4.0,,,,,,,r.-1.4.0,
10,,,p.11,,,,,,,,,
11,,p.1,,,,,p.2,,p.3,p.4,,p.12
12,p.6/r.-1.5.0,,,p.7/r.-1.5.0,,,,,,,r.-1.5.0,
13,,,,p.28,,,,,,,,
14,,p.13,,,,,p.14,,p.15,p.16,,p.26
15,r.-1.1.0,,,r.-1.1.0,,,,r.-1.1.0,,,,
16,r.-1.1.0,,,r.-1.1.0,,,,r.-1.1.0,,,,
17,p.18,,,p.19,,,,p.20,,,,
18,,p.23,,,,,,,,,,
19,,,,,p.21,,,,,,,
20,r.-1.3.0,,,r.-1.3.0,,,,,,,r.-1.3.0,
21,,p.13,,,,,p.14,,p.15,p.16,,p.22
22,p.18/r.-1.4.0,,,p.19/r.-1.4.0,,,,r.-1.4.0,,,,
23,,,p.24,,,,,,,,,
24,,p.13,,,,,p.14,,p.15,p.16,,p.25
25,p.18/r.-1.5.0,,,p.19/r.-1.5.0,,,,r.-1.5.0,,,,
26,p.18,,,p.19,,,,p.27,,,,
27,r.-1.3.0,,,r.-1.3.0,,,,r.-1.3.0,,,,
28,,,,,,p.29,,,,,,
29,,p.13,,,,,p.14,,p.15,p.16,,p.30
30,p.18/r.-1.4.0,,,p.19/r.-1.4.0,,,,r.-1.4.0,,,,
31,,,,,,p.32,,,,,,
32,,p.1,,,,,p.2,,p.3,p.4,,p.33
33,p.6/r.-1.4.0,,,p.7/r.-1.4.0,,,,,,,r.-1.4.0,
