state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11
0,,,,,,p.1,p.2,,,,,,,,,,,,,,,,p.3,,,,,,,,,,
1,,,,,,,,p.122,,,p.123,,,,,,,,,,,,,,,,,,,p.124,,,
2,p.4,,,,,p.5,p.6,p.7,,p.8,,,p.9,,p.10,,,p.11,,,p.12,,,p.13,,,,,p.14,,,,p.15
3,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,r.-2.1.0,,,,,,,,,,,
5,,,,,,,,p.56,,,p.57,,,,,,,,,,,,,,,,,,,p.58,,,
6,p.51,,,,,p.5,p.6,p.7,,p.8,,,p.9,,p.10,,,p.11,,,p.12,,,p.52,,,,,p.14,,,,p.53
7,,,,,,,,,,,,,,p.48,,,,,,,,,,,,,,,,,,p.49,
8,r.-7.1.0,r.-7.1.0,r.-7.1.0,r.-7.1.0,r.-7.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,p.8,,,,,,,,,,,,,,,,,,,p.45,,,,
10,,,,,,,,,,,,,,,,p.42,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,p.38,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,p.35,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,r.-1.2.0,,,,,,,,,,,
14,r.-5.0.3/r.-11.1.6,r.-11.1.6/r.-5.0.3,r.-5.0.3,r.-5.0.3,p.21,,,,,,,,,,,,,,,,,,,,,,p.22,,,,,,
15,r.-3.0.6,p.16,,,,,,,,,,,,,,,,,,,,,,,p.17,,,,,,,,
16,,,,,,p.5,p.6,p.7,,p.8,,,p.9,,p.10,,,p.11,,,p.12,,,,,,,,p.14,,,,p.19
17,p.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,r.-2.3.0,,,,,,,,,,,
19,r.-3.2.6/r.-3.0.6,p.16,,,,,,,,,,,,,,,,,,,,,,,p.20,,,,,,,,
20,r.-3.3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,p.33,,,,,,,,,,,,,,,,,,,p.34,,,,
22,r.-11.2.7/r.-4.0.7,r.-4.0.7/r.-11.2.7,p.23,p.24,,,,,,,,,,,,,,,,,,,,,,p.25,,,,,,,
23,,,,,,,,,,r.-9.0.5,,p.26,p.27,,,,,,,,,,,,,,,,,,p.31,,
24,,,,,,,,,,r.-9.0.5,,p.26,p.27,,,,,,,,,,,,,,,,,,p.28,,
25,r.-11.3.0,r.-11.3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,r.-9.1.0,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,r.-9.1.0,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,p.29,,,,,,,,,,,,,,,,,,,p.30,,,,
29,r.-7.1.0,r.-7.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,r.-4.3.0,r.-4.3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,p.29,,,,,,,,,,,,,,,,,,,p.32,,,,
32,r.-4.3.0,r.-4.3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,r.-7.1.0,r.-7.1.0,r.-7.1.0,r.-7.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,r.-5.2.0,r.-5.2.0,r.-5.2.0,r.-5.2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,p.36,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,p.37,,,,,,,,,,,,,
37,r.-11.4.0,r.-11.4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,p.39,,,,,,,,,,,,,
39,,,,,,,,,,,,,,p.40,,,,,,,,,,,,,,,,,,,
40,,,p.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,r.-11.5.0,r.-11.5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,p.43,,,,,,,,,,,,,,,,
43,,,p.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,r.-11.4.0,r.-11.4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,r.-11.2.6/r.-5.0.3,r.-5.0.3/r.-11.2.6,r.-5.0.3,r.-5.0.3,p.21,,,,,,,,,,,,,,,,,,,,,,p.46,,,,,,
46,r.-11.3.7/r.-4.0.7,r.-11.3.7/r.-4.0.7,p.23,p.24,,,,,,,,,,,,,,,,,,,,,,p.47,,,,,,,
47,r.-11.4.0,r.-11.4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,r.-10.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,p.50,,,,,,,,,,,,,,,,,,,,,,,,,
50,r.-11.3.0,r.-11.3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,r.-2.1.0,r.-2.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,r.-11.2.0,r.-11.2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,r.-3.0.6,p.16,,,,,,,,,,,,,,,,,,,,,,,p.54,,,,,,,,
54,p.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,r.-2.3.0,r.-2.3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,p.48,,,,,,,,,,,,,,,,,,p.59,
57,r.-8.1.0,r.-8.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,r.-11.2.0,r.-11.2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,p.60,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,p.61,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,p.62,p.63,p.64,,p.65,,,p.66,,p.67,,,p.68,,,p.69,,,,,,,,p.70,,,,p.71
62,,,,,,,,p.113,,,p.114,,,,,,,,,,,,,,,,,,,p.115,,,
63,p.108,,,,,p.5,p.6,p.7,,p.8,,,p.9,,p.10,,,p.11,,,p.12,,,p.109,,,,,p.14,,,,p.110
64,,,,,,,,,,,,,,p.48,,,,,,,,,,,,,,,,,,p.106,
65,,r.-7.1.0,r.-7.1.0,r.-7.1.0,r.-7.1.0,,,,,,r.-7.1.0,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,p.65,,,,,,,,,,,,,,,,,,,p.103,,,,
67,,,,,,,,,,,,,,,,p.100,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,p.96,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,p.93,,,,,,,,,,,,,,,,
70,,r.-5.0.3/r.-11.1.6,r.-5.0.3,r.-5.0.3,p.81,,,,,,r.-11.1.6/r.-5.0.3,,,,,,,,,,,,,,,,p.82,,,,,,
71,,p.72,,,,,,,,,r.-6.0.6,,,,,,,,,,,,,,,,,p.73,,,,,
72,,,,,,,,p.75,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,p.74,,,,,,,,,,,,,,,,,,,,,,
74,r.-8.7.0,r.-8.7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,p.48,,,,,,,,,,,,,,,,,,p.76,
76,,,,,,,,p.77,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,p.78,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,p.62,p.63,p.64,,p.65,,,p.66,,p.67,,,p.68,,,p.69,,,,,,,,p.70,,,,p.79
79,,p.72,,,,,,,,,r.-6.0.6/r.-6.6.6,,,,,,,,,,,,,,,,,p.80,,,,,
80,,,,,,,,,,,r.-6.7.0,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,p.91,,,,,,,,,,,,,,,,,,,p.92,,,,
82,,r.-4.0.7/r.-11.2.7,p.83,p.84,,,,,,,r.-4.0.7/r.-11.2.7,,,,,,,,,,,,,,,p.85,,,,,,,
83,,,,,,,,,,r.-9.0.5,,p.26,p.27,,,,,,,,,,,,,,,,,,p.89,,
84,,,,,,,,,,r.-9.0.5,,p.26,p.27,,,,,,,,,,,,,,,,,,p.86,,
85,,r.-11.3.0,,,,,,,,,r.-11.3.0,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,p.87,,,,,,,,,,,,,,,,,,,p.88,,,,
87,,r.-7.1.0,,,,,,,,,r.-7.1.0,,,,,,,,,,,,,,,,,,,,,,
88,,r.-4.3.0,,,,,,,,,r.-4.3.0,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,p.87,,,,,,,,,,,,,,,,,,,p.90,,,,
90,,r.-4.3.0,,,,,,,,,r.-4.3.0,,,,,,,,,,,,,,,,,,,,,,
91,,r.-7.1.0,r.-7.1.0,r.-7.1.0,,,,,,,r.-7.1.0,,,,,,,,,,,,,,,,,,,,,,
92,,r.-5.2.0,r.-5.2.0,r.-5.2.0,,,,,,,r.-5.2.0,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,p.94,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,p.95,,,,,,,,,,,,,
95,,r.-11.4.0,,,,,,,,,r.-11.4.0,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,p.97,,,,,,,,,,,,,
97,,,,,,,,,,,,,,p.98,,,,,,,,,,,,,,,,,,,
98,,,p.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,r.-11.5.0,,,,,,,,,r.-11.5.0,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,p.101,,,,,,,,,,,,,,,,
101,,,p.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,r.-11.4.0,,,,,,,,,r.-11.4.0,,,,,,,,,,,,,,,,,,,,,,
103,,r.-5.0.3/r.-11.2.6,r.-5.0.3,r.-5.0.3,p.81,,,,,,r.-11.2.6/r.-5.0.3,,,,,,,,,,,,,,,,p.104,,,,,,
104,,r.-11.3.7/r.-4.0.7,p.83,p.84,,,,,,,r.-4.0.7/r.-11.3.7,,,,,,,,,,,,,,,p.105,,,,,,,
105,,r.-11.4.0,,,,,,,,,r.-11.4.0,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,p.107,,,,,,,,,,,,,,,,,,,,,,,,,
107,,r.-11.3.0,,,,,,,,,r.-11.3.0,,,,,,,,,,,,,,,,,,,,,,
108,,r.-2.1.0,,,,,,,,,r.-2.1.0,,,,,,,,,,,,,,,,,,,,,,
109,,r.-11.2.0,,,,,,,,,r.-11.2.0,,,,,,,,,,,,,,,,,,,,,,
110,r.-3.0.6,p.16,,,,,,,,,,,,,,,,,,,,,,,p.111,,,,,,,,
111,p.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,r.-2.3.0,,,,,,,,,r.-2.3.0,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,p.48,,,,,,,,,,,,,,,,,,p.116,
114,,r.-8.1.0,,,,,,,,,r.-8.1.0,,,,,,,,,,,,,,,,,,,,,,
115,,r.-11.2.0,,,,,,,,,r.-11.2.0,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,p.117,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,p.118,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,p.62,p.63,p.64,,p.65,,,p.66,,p.67,,,p.68,,,p.69,,,,,,,,p.70,,,,p.119
119,,p.72,,,,,,,,,r.-6.0.6,,,,,,,,,,,,,,,,,p.120,,,,,
120,,,,,,,,,,,p.121,,,,,,,,,,,,,,,,,,,,,,
121,,r.-8.7.0,,,,,,,,,r.-8.7.0,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,p.48,,,,,,,,,,,,,,,,,,p.125,
123,,,,,,,,,,,,,,,,,,,,,,r.-8.1.0,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,r.-1.2.0,,,,,,,,,,,
125,,,,,,,,p.126,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,p.127,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,p.62,p.63,p.64,,p.65,,,p.66,,p.67,,,p.68,,,p.69,,,,,,,,p.70,,,,p.128
128,,p.72,,,,,,,,,r.-6.0.6,,,,,,,,,,,,,,,,,p.129,,,,,
129,,,,,,,,,,,p.130,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,r.-8.7.0,,,,,,,,,,,
