state,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,0,-1,-3,-4,-5,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18,-19,-20,-21,-22,-23,-24,-25,-26,-27,-28,-29,-30,-31,-32,-33,-34,-35,-36,-37,-38,-39,-40,-41,-42,-43,-44,-45,-46,-47,-48,-49,-50,-51,-52,-53,-54,-55,-56,-57,-58,-59,-60,-61,-62,-63,-64,-65,-66,-67,-68,-69,-70,-71,-72,-73,-74,-75,-76,-77,-78
0,,p.1/r.-17.0.8/r.-56.0.8/r.-17.0.0/r.-56.0.8/r.-56.0.0,p.2,p.3,p.4,,p.5,p.6,,p.7,,p.8,,,,p.9,,,p.10,p.11/r.-17.0.0/r.-56.0.8/r.-17.0.8/r.-56.0.8/r.-56.0.0,p.12/r.-56.0.0/r.-17.0.8/r.-56.0.8/r.-56.0.8/r.-17.0.0,p.13/r.-17.0.8/r.-56.0.8/r.-56.0.0/r.-17.0.0/r.-56.0.8,,p.14/r.-56.0.8/r.-17.0.0/r.-17.0.8/r.-56.0.0/r.-56.0.8,,p.15/r.-17.0.0/r.-56.0.8/r.-56.0.0/r.-17.0.8/r.-56.0.8,p.16/r.-56.0.8/r.-56.0.8/r.-56.0.0/r.-17.0.0/r.-17.0.8,p.17/r.-56.0.8/r.-56.0.8/r.-17.0.8/r.-56.0.0/r.-17.0.0,r.-56.0.8/r.-17.0.8/r.-17.0.0/r.-56.0.8/r.-62.0.0/r.-56.0.0/r.-62.0.8,p.18/r.-56.0.8/r.-17.0.8/r.-56.0.0/r.-17.0.0/r.-56.0.8,p.19/r.-56.0.0/r.-17.0.8/r.-17.0.0/r.-56.0.8/r.-56.0.8,p.20/r.-17.0.0/r.-56.0.8/r.-56.0.0/r.-56.0.8/r.-17.0.8,,,,,p.21,p.22,,,p.23,,p.24,p.25,,,p.26/r.-56.0.8/r.-17.0.8/r.-17.0.0/r.-56.0.0/r.-56.0.8,p.27,,,,,p.28,p.29/r.-56.0.8/r.-56.0.0/r.-17.0.0/r.-17.0.8/r.-56.0.8,,,,p.30/r.-56.0.8/r.-17.0.8/r.-56.0.0/r.-17.0.0/r.-56.0.8,,,,p.31,p.32,,p.33,,,p.34,,p.35,,,,p.36,p.37,,,p.38,,,,,,p.39,,,,p.40,,,,,,,p.41,,,,p.42,p.43,p.44,,,,,,p.45,,,,,,,p.46,p.47,,p.48,,,,,,p.49,,,p.50,p.51,p.52,p.53,,,,,,,,,,,,,,p.54,,p.55
1,,,r.-73.0.7,,,,,p.2306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r.-73.0.7,,,,,,,,,,,,,,,r.-73.0.7,,,p.2307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p.7881,,,,p.2309,,p.7550,,,,,
2,,,r.-76.1.0,r.-76.1.0,r.-76.1.0,,r.-76.1.0,r.-76.1.0,,r.-76.1.0,,r.-76.1.0,,,,r.-76.1.0,,,r.-76.1.0,,,,,,,,,,r.-76.1.0,,,,r.-76.1.0,r.-76.1.0,r.-76.1.0,r.-76.1.0,,,,,,,,,,,,r.-76.1.0,,,,,r.-76.1.0,,,,,,,,,r.-76.1.0,r.-76.1.0,,r.-76.1.0,,,r.-76.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p.27,,,,,,,,,,,,,,,p.32,,p.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p.42,,,,,,,,p.7880,,,,,,,,,,,,,,,,,,,p.50,,p.52,,,,,,,,,,,,,,,p.54,,
4,,,,,,p.7877,,,,,,,,,,,,,p.1292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p.1293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p.7878,,,,,,p.1295,,,p.1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,p.7873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p.7874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p.7875,,,p.7876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,p.1084,p.1085,p.1086,,p.1087,p.1088,p.7866,p.1090,,p.1091,,,,p.1092,,,p.1093,,,,,,,,,,,,,,,,,,p.1094,p.1095,,,p.1096,,p.1097,p.1098,,,,p.1099,,,,,p.1100,,,,,,,,,p.1101,p.1102,,p.1103,,,p.1104,,,,,,p.1105,p.1106,,,p.1107,,,,,,,,,,p.7867,,p.7868,,p.7869,,,,,,,p.1111,p.1112,p.1113,,,,,,p.1114,,,,,,,p.1115,p.1116,,,,,,,,,,,p.1117,p.1118,p.1119,,,,,,,,,,,,,,,p.1120,,p.1121
7,,,p.935,p.936,p.937,,p.938,p.939,,p.940,p.7863,p.942,,,,p.943,,,p.944,,,,,,,,,,,,,,,,,,p.945,p.946,,,p.947,,p.948,p.949,,,,p.950,,,,,p.951,,,,,,,,,p.952,p.953,,p.954,,,p.955,,,,,,p.956,p.957,,,p.958,,,,,,,,,,p.959,p.7864,,,,,,,,,,p.961,p.962,p.963,,,,,,p.964,,,,,,,p.965,p.966,,,,,,,,,,,p.967,p.968,p.969,,,,,,,,,,,,,,,p.970,,p.971
8,,p.775/r.-17.0.0/r.-17.0.8,,,,,,,,,,,r.-17.0.0/r.-17.0.8,,,,,,,p.776/r.-17.0.8/r.-17.0.0,p.777/r.-17.0.8/r.-17.0.0,p.778/r.-17.0.8/r.-17.0.0,,p.779/r.-17.0.0/r.-17.0.8,,p.780/r.-17.0.8/r.-17.0.0,p.781/r.-17.0.8/r.-17.0.0,p.782/r.-17.0.0/r.-17.0.8,r.-17.0.8/r.-17.0.0,p.783/r.-17.0.0/r.-17.0.8,p.784/r.-17.0.8/r.-17.0.0,p.785/r.-17.0.0/r.-17.0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p.7859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,r.-11.1.0,r.-11.1.0,r.-11.1.0,,r.-11.1.0,r.-11.1.0,,r.-11.1.0,,r.-11.1.0,,,,r.-11.1.0,,,r.-11.1.0,,,,,,,,,,r.-11.1.0,,,,r.-11.1.0,r.-11.1.0,r.-11.1.0,r.-11.1.0,,,,,,,,,,,,r.-11.1.0,,,,,r.-11.1.0,,,,,,,,,r.-11.1.0,r.-11.1.0,,r.-11.1.0,,,r.-11.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
